N,K,Samples,Avg Runtime,Max Runtime,Total Runtime,Std Dev
32,10,2,0.145818,0.165082,0.291636,0.019264
38,12,2,0.1711665,0.192688,0.342333,0.0215215
38,12,1,0.193846,0.193846,0.193846,0.0
38,12,1,0.344325,0.344325,0.344325,0.0
44,14,1,0.446136,0.446136,0.446136,0.0
14,4,2,0.0159575,0.020959,0.031915,0.0050015
44,14,1,0.10855,0.10855,0.10855,0.0
38,12,3,0.18380566,0.385578,0.551417,0.14349826
20,6,2,0.2815165,0.479294,0.563033,0.1977775
26,8,4,0.041977,0.061934,0.167908,0.0121486625
26,8,4,0.07968325,0.207178,0.318733,0.073667735
38,12,2,0.0763855,0.152728,0.152771,0.0763425
32,10,2,0.065568,0.072036,0.131136,0.006468
50,16,3,0.438138,0.774252,1.314414,0.23789799
62,20,1,0.781512,0.781512,0.781512,0.0
38,12,4,0.22775,0.371074,0.911,0.12074102
44,14,4,0.149885,0.331044,0.59954,0.10512769
50,16,3,0.29030865,0.382746,0.870926,0.11634149
56,18,7,0.6421457,1.5724,4.49502,0.42398015
74,24,2,0.1349,0.269679,0.2698,0.134779
86,28,2,0.726853,0.760263,1.453706,0.03341
98,32,1,1.48408,1.48408,1.48408,0.0
62,20,8,0.45925537,1.23662,3.674043,0.3735684
86,28,11,1.0664568,2.065034,11.731025,0.46510276
74,24,11,0.75550175,1.566407,8.310519,0.3325236
74,24,11,0.7874407,1.410704,8.661848,0.3161623
74,24,11,0.84484845,1.163821,9.293333,0.26920018
92,30,5,1.356657,1.682089,6.783285,0.22669075
98,32,12,1.4087566,1.998144,16.90508,0.42819545
128,42,3,1.82904,2.028907,5.48712,0.22221483
92,30,19,1.3257345,2.511136,25.188955,0.56260765
110,36,13,1.8093895,3.150042,23.522062,0.5592111
122,40,10,2.0311792,3.971265,20.31179,0.879522
110,36,26,1.4643067,2.929139,38.071976,0.68708503
122,40,27,1.6860892,3.799444,45.524406,0.7733446
128,42,16,2.2535758,3.61854,36.057213,0.6093339
170,56,8,3.3723416,4.790158,26.978733,0.9257938
146,48,26,2.2976542,3.389351,59.73901,0.60564953
170,56,7,3.151674,3.924686,22.06172,0.5938804
182,60,13,4.02009,7.412708,52.261173,1.4496909
212,70,4,4.3865514,6.437199,17.546206,1.6193058
170,56,30,2.2252407,5.886986,66.75722,1.3846384
218,72,24,3.7412455,7.275932,89.78989,1.5779483
212,70,18,1.780947,4.97961,32.057045,0.94564086
182,60,36,1.5982556,4.879767,57.537205,1.4747299
254,84,34,2.6238437,5.968471,89.210686,1.5306995
254,84,58,1.6987512,9.083527,98.52757,2.0051506
296,98,34,3.064174,10.294683,104.18191,2.8079495
254,84,60,1.0820441,6.125579,64.92265,1.0915895
